iter	MultiClass
0	1.085831989
1	1.074384914
2	1.062558038
3	1.050584731
4	1.038881672
5	1.027547309
6	1.01814064
7	1.009440219
8	1.000264781
9	0.991797107
10	0.983581092
11	0.9749294141
12	0.9650340551
13	0.9570760968
14	0.9480334628
15	0.9396751945
16	0.9327654546
17	0.9256136822
18	0.9185060657
19	0.9110563678
20	0.905164191
21	0.899459584
22	0.893236557
23	0.8881303826
24	0.881724486
25	0.8766857863
26	0.8720468735
27	0.8676028565
28	0.8634948754
29	0.8583576063
30	0.8546418096
31	0.8503093965
32	0.8466471498
33	0.8420451543
34	0.837865022
35	0.8339154662
36	0.8296611146
37	0.8266841325
38	0.8229688238
39	0.8183482434
40	0.8143602966
41	0.8100388478
42	0.8064038993
43	0.8038659965
44	0.8009828492
45	0.7990774145
46	0.7960389285
47	0.7929886662
48	0.7893267938
49	0.7859037881
50	0.7835435076
51	0.7800327488
52	0.7776247524
53	0.7755728044
54	0.7738320489
55	0.7726091627
56	0.7707205764
57	0.768142016
58	0.7663246792
59	0.7642485988
60	0.7619384769
61	0.7592894895
62	0.7572533791
63	0.7546722683
64	0.7525932304
65	0.7505444418
66	0.748282449
67	0.7454098813
68	0.7428758496
69	0.7411879767
70	0.7393497114
71	0.7373716653
72	0.7355301585
73	0.733710004
74	0.7313370599
75	0.7294145579
76	0.7277931001
77	0.7256268601
78	0.7235908964
79	0.722670142
80	0.7199739393
81	0.7181398119
82	0.7164699207
83	0.7150371025
84	0.7132995695
85	0.7116989377
86	0.7096643008
87	0.7076774074
88	0.705636528
89	0.7039857115
90	0.7025328659
91	0.7008946387
92	0.6993324374
93	0.6978360113
94	0.6963643588
95	0.6942925687
96	0.6924161436
97	0.6912704313
98	0.6897014285
99	0.6883715239
100	0.68691971
101	0.6853979124
102	0.6843790758
103	0.6828951653
104	0.6815885649
105	0.6799618823
106	0.6785654989
107	0.6767755184
108	0.6746930242
109	0.6739114728
110	0.6727482814
111	0.6710794873
112	0.6696971161
113	0.668361351
114	0.6664781644
115	0.6652088494
116	0.663635542
117	0.6623365089
118	0.6614795205
119	0.6603141378
120	0.6586849335
121	0.6572115837
122	0.6563801736
123	0.6546139157
124	0.6533764499
125	0.652151862
126	0.6510896273
127	0.6500606682
128	0.6490580685
129	0.6479905088
130	0.6473937512
131	0.6464473494
132	0.6454001717
133	0.6445725279
134	0.6431717582
135	0.6418647157
136	0.6409901681
137	0.6403391656
138	0.6391356068
139	0.6375811538
140	0.636333663
141	0.6356160287
142	0.6346303814
143	0.6333344459
144	0.6321888043
145	0.6311107274
146	0.6299635908
147	0.6289001143
148	0.6279228664
149	0.6267893207
150	0.6255339661
151	0.6246615803
152	0.6237650638
153	0.6225658329
154	0.621704486
155	0.621106851
156	0.6202019553
157	0.6190253718
158	0.6181776734
159	0.6171683242
160	0.616163803
161	0.6155462104
162	0.6145404676
163	0.6131585485
164	0.6122440262
165	0.6112105516
166	0.6100688722
167	0.6090812033
168	0.60819741
169	0.6071638534
170	0.6062647426
171	0.6054329639
172	0.6050337622
173	0.6038321639
174	0.6027022257
175	0.6019093294
176	0.6011034917
177	0.5999516544
178	0.5993276046
179	0.5985022426
180	0.5975167
181	0.5968730781
182	0.5959460803
183	0.595579139
184	0.5947312656
185	0.5938211715
186	0.5928109079
187	0.591959735
188	0.5906903785
189	0.5900745057
190	0.5894938516
191	0.5883190754
192	0.5873482718
193	0.5865436929
194	0.5858236779
195	0.5849524031
196	0.584241982
197	0.583560058
198	0.5827552016
199	0.5817223474
200	0.5809001849
201	0.5797313369
202	0.5791678562
203	0.578170349
204	0.577261183
205	0.5763007477
206	0.5757440973
207	0.5747439963
208	0.5741720969
209	0.5734609579
210	0.5723907554
211	0.5714616671
212	0.5707848169
213	0.5700045936
214	0.5692898214
215	0.5683491625
216	0.5674024972
217	0.5666184282
218	0.5654236295
219	0.5646026834
220	0.5637410025
221	0.5630578625
222	0.5623580844
223	0.5617010785
224	0.5609183383
225	0.5602318013
226	0.5595581041
227	0.5590300874
228	0.5581796922
229	0.5572062557
230	0.5564421158
231	0.5558302729
232	0.5552254656
233	0.554362424
234	0.5539710351
235	0.553315697
236	0.5527361373
237	0.5521268146
238	0.5513256894
239	0.5508658966
240	0.5501065454
241	0.5496617954
242	0.549279018
243	0.5487214986
244	0.5479878024
245	0.547337274
246	0.5468447367
247	0.546264666
248	0.5458050831
249	0.5454164948
250	0.5447620974
251	0.5442026873
252	0.5436243512
253	0.5431392125
254	0.5424563333
255	0.5417032465
256	0.5414545589
257	0.5407966224
258	0.5405554225
259	0.5399437251
260	0.5391664674
261	0.5385813046
262	0.5381542054
263	0.5373065771
264	0.5367514946
265	0.5358866045
266	0.5355076123
267	0.5347666231
268	0.5339613717
269	0.5331140192
270	0.5326452326
271	0.5322033872
272	0.5313477926
273	0.5307186573
274	0.5302699692
275	0.5298652452
276	0.5292825426
277	0.528871649
278	0.5282746478
279	0.5275817578
280	0.5270704614
281	0.5262350637
282	0.5255797042
283	0.5252181701
284	0.5247040348
285	0.5238779937
286	0.5234345514
287	0.5226196899
288	0.522065093
289	0.5215848151
290	0.5210453809
291	0.52056096
292	0.5199095797
293	0.5191503982
294	0.5185102407
295	0.5179471227
296	0.5174886634
297	0.5170034324
298	0.5164277211
299	0.5156871406
300	0.515080469
301	0.5145633772
302	0.514065042
303	0.5137705396
304	0.5133756356
305	0.5128682673
306	0.5125749579
307	0.5121884536
308	0.5117908951
309	0.511101128
310	0.5106483837
311	0.5099909506
312	0.5096250438
313	0.5092834229
314	0.5086099471
315	0.5081191337
316	0.5076578948
317	0.5073147392
318	0.5068220214
319	0.506294897
320	0.5057253736
321	0.5052828685
322	0.5047160144
323	0.5041648506
324	0.5038911075
325	0.5035599583
326	0.5029674972
327	0.5025518482
328	0.502126496
329	0.5015426856
330	0.5008448333
331	0.5003353459
332	0.4999115404
333	0.4994941986
334	0.4990565233
335	0.4986103465
336	0.4980111768
337	0.4974598077
338	0.4969139829
339	0.4965738682
340	0.4959999137
341	0.4955351167
342	0.4950815556
343	0.4945404312
344	0.4940810223
345	0.4935356109
346	0.4931954826
347	0.4928147457
348	0.4924576807
349	0.4918460807
350	0.4915050615
351	0.4908730559
352	0.4904050946
353	0.4900568054
354	0.4894660666
355	0.4889905323
356	0.4884230946
357	0.4877523662
358	0.4874274359
359	0.4870221688
360	0.4864327461
361	0.4860194672
362	0.4856537309
363	0.4851480204
364	0.4848485287
365	0.4844331563
366	0.4841170911
367	0.4836582729
368	0.4832044397
369	0.48270683
370	0.4822718362
371	0.4817699342
372	0.4813506046
373	0.4808537988
374	0.4804797663
375	0.4802419319
376	0.4798696989
377	0.4793666216
378	0.478765013
379	0.4781267159
380	0.4777238479
381	0.4772934138
382	0.476896691
383	0.4765976495
384	0.4761159143
385	0.4757464433
386	0.4755340214
387	0.4750638972
388	0.4746998524
389	0.4744559019
390	0.474125957
391	0.4739042561
392	0.4733902839
393	0.4730621942
394	0.4726884088
395	0.4723018485
396	0.4721000039
397	0.471763887
398	0.4714617719
399	0.4709549703
400	0.4707382408
401	0.4703620904
402	0.4699663029
403	0.4697110166
404	0.4692450697
405	0.468811884
406	0.4684490665
407	0.4680966311
408	0.4677397804
409	0.4674426186
410	0.4671914196
411	0.4667294751
412	0.4664889765
413	0.4662041034
414	0.4658844343
415	0.4655682008
416	0.4651955565
417	0.4646782822
418	0.4643787264
419	0.4639831032
420	0.4637343066
421	0.4634959676
422	0.4632887673
423	0.4629200027
424	0.462576841
425	0.4623718391
426	0.4620276685
427	0.4616059503
428	0.461446936
429	0.4610861658
430	0.4607116059
431	0.4603223698
432	0.4597869703
433	0.4593389282
434	0.459149855
435	0.458743853
436	0.4584707641
437	0.4582257617
438	0.4578995261
439	0.4576404516
440	0.4572402225
441	0.456903998
442	0.456502643
443	0.4561456709
444	0.455827853
445	0.4553516154
446	0.455101406
447	0.4548359086
448	0.4545814402
449	0.4543374618
450	0.4540528087
451	0.4536377697
452	0.4533649099
453	0.4530551158
454	0.4527250057
455	0.4525592053
456	0.4521937849
457	0.4519124555
458	0.4516744742
459	0.4512467795
460	0.4509113464
461	0.4506731668
462	0.4505237136
463	0.4503015816
464	0.449807477
465	0.4494007231
466	0.4490912676
467	0.4487028329
468	0.448267147
469	0.4477940322
470	0.4475478399
471	0.4473386372
472	0.4468972473
473	0.4467089651
474	0.4464257987
475	0.4461974167
476	0.4459568399
477	0.4455498581
478	0.4451810592
479	0.444906441
480	0.4445771903
481	0.4442575733
482	0.4440230994
483	0.4437729312
484	0.4434973759
485	0.4432579303
486	0.4429313326
487	0.4426648392
488	0.4423028991
489	0.4420916197
490	0.4418290604
491	0.4415413968
492	0.4410704462
493	0.4407521525
494	0.4405099954
495	0.4402025861
496	0.4399410111
497	0.4396770357
498	0.4394939695
499	0.4391262847
500	0.4388671181
501	0.4385125994
502	0.4381818186
503	0.437871868
504	0.4375876996
505	0.4374466384
506	0.4372707451
507	0.436868999
508	0.4364654821
509	0.4360848105
510	0.4357963041
511	0.4355242936
512	0.4352642497
513	0.4350470621
514	0.4346586368
515	0.4341998507
516	0.4338248813
517	0.4337416365
518	0.4333857745
519	0.4331482097
520	0.4328176163
521	0.4324485767
522	0.4321791063
523	0.4318829072
524	0.4315984022
525	0.4312835859
526	0.4311482996
527	0.4310616623
528	0.4307628759
529	0.4305368126
530	0.4302095924
531	0.4299218054
532	0.4297564343
533	0.4293854765
534	0.4290428089
535	0.4287581969
536	0.4284846228
537	0.4283556385
538	0.4280332465
539	0.4277720618
540	0.4276135344
541	0.4272866166
542	0.4270879569
543	0.4269142983
544	0.4266553279
545	0.4263877227
546	0.4262883684
547	0.4260161892
548	0.425856984
549	0.4255981608
550	0.425332068
551	0.4251243317
552	0.4247759108
553	0.4245305137
554	0.4243158229
555	0.4239955903
556	0.4237585459
557	0.423457713
558	0.4231319193
559	0.422861316
560	0.4226361547
561	0.4224649224
562	0.422088877
563	0.4219151591
564	0.4216961868
565	0.4215468797
566	0.42108655
567	0.4208434662
568	0.4206013469
569	0.4204547406
570	0.4202651537
571	0.4200492576
572	0.4196643954
573	0.4193242616
574	0.419103958
575	0.4188435221
576	0.4185845642
577	0.4183818081
578	0.4181077562
579	0.4179075003
580	0.4177127969
581	0.4174596692
582	0.4173035775
583	0.4170952005
584	0.4168831668
585	0.4167061559
586	0.4165107121
587	0.4160444575
588	0.415682532
589	0.4154551055
590	0.4152119805
591	0.4150026558
592	0.4148582587
593	0.4146921253
594	0.4144500861
595	0.4142269848
596	0.4140786499
597	0.413941281
598	0.4137211278
599	0.4134978015
600	0.4132773881
601	0.4129923582
602	0.4127189066
603	0.4124743158
604	0.412355032
605	0.4121846617
606	0.4118950694
607	0.4117292617
608	0.4115507852
609	0.41133798
610	0.4111022358
611	0.4109434407
612	0.4106487639
613	0.4103771503
614	0.4101796708
615	0.4099378579
616	0.4096630972
617	0.4094547097
618	0.4092838633
619	0.4090227484
620	0.4088417676
621	0.4085845
622	0.4083430336
623	0.4080778746
624	0.4078446949
625	0.4076162609
626	0.407515122
627	0.4072564885
628	0.4071162159
629	0.4069198587
630	0.4066718374
631	0.4064856502
632	0.4062663236
633	0.4061217553
634	0.4058605004
635	0.4057173519
636	0.4055170296
637	0.405353533
638	0.405150997
639	0.4049999988
640	0.4047255869
641	0.4045691758
642	0.4042935906
643	0.4040586972
644	0.4039372553
645	0.4038321234
646	0.4036482641
647	0.4034518368
648	0.403238841
649	0.4031185253
650	0.402915456
651	0.4027407383
652	0.4025506908
653	0.4023868641
654	0.4021001043
655	0.4018826498
656	0.4015796293
657	0.401373036
658	0.401179413
659	0.4009877425
660	0.4008233543
661	0.4006002115
662	0.4003813228
663	0.4001938714
664	0.4000389181
665	0.3997954498
666	0.3996366108
667	0.3993955267
668	0.3991480701
669	0.39895145
670	0.3987113998
671	0.3984989513
672	0.3983592998
673	0.3981611069
674	0.3978884625
675	0.3977255039
676	0.397544092
677	0.3973276597
678	0.3971444773
679	0.3968964926
680	0.3967570417
681	0.3965102823
682	0.3963871799
683	0.3961848024
684	0.3960405424
685	0.3958829704
686	0.3957405296
687	0.3956460939
688	0.3955238281
689	0.3953150962
690	0.395125394
691	0.3949261683
692	0.3947093415
693	0.3945570735
694	0.3943985757
695	0.3942501948
696	0.3939771578
697	0.3937849532
698	0.3936022342
699	0.3934115308
700	0.3932660216
701	0.3930561248
702	0.392875915
703	0.392621727
704	0.3924434146
705	0.3923309761
706	0.3922061788
707	0.3921037561
708	0.3919705323
709	0.3918207636
710	0.3915968658
711	0.3915083138
712	0.3913197613
713	0.3911766984
714	0.3909293141
715	0.3907208783
716	0.3905997493
717	0.3904252374
718	0.3903376199
719	0.3902376382
720	0.3901239944
721	0.3900105177
722	0.3898577478
723	0.3897167112
724	0.3896544875
725	0.3895718096
726	0.3894123365
727	0.3891897283
728	0.3889947363
729	0.3888325082
730	0.3886539427
731	0.3885421046
732	0.3883591378
733	0.3882209338
734	0.3880457508
735	0.3878553856
736	0.387649761
737	0.387421891
738	0.3872265967
739	0.3870860942
740	0.3869790616
741	0.386755152
742	0.3865770407
743	0.3864341133
744	0.3862571228
745	0.3860589704
746	0.3858663816
747	0.3857183195
748	0.3855973352
749	0.3854658138
750	0.3853674345
751	0.3852078953
752	0.3850577123
753	0.3848757314
754	0.3847597223
755	0.3845722711
756	0.3844375468
757	0.3842677841
758	0.3840981135
759	0.3839964802
760	0.3838597793
761	0.3836882676
762	0.3835928799
763	0.3835194886
764	0.383281636
765	0.3831049308
766	0.3829581476
767	0.3827992127
768	0.3825976939
769	0.3824297766
770	0.3822660953
771	0.3821749694
772	0.382023976
773	0.3818294476
774	0.3816570222
775	0.3815765464
776	0.381463712
777	0.3813106014
778	0.3811894575
779	0.3810795764
780	0.3809321428
781	0.3807688912
782	0.3805887197
783	0.3804406557
784	0.3803062431
785	0.3801446194
786	0.3799886461
787	0.3798437266
788	0.3797523871
789	0.3795396183
790	0.3794309449
791	0.3793584477
792	0.3792187227
793	0.3790979397
794	0.378984467
795	0.3787997681
796	0.3786287176
797	0.3784883311
798	0.3783458728
799	0.3781972423
