iter	Passed	Remaining
0	125	100158
1	127	50673
2	128	34151
3	131	26146
4	133	21152
5	134	17825
6	136	15451
7	137	13661
8	139	12272
9	142	11228
10	143	10308
11	145	9537
12	146	8889
13	148	8339
14	150	7856
15	151	7439
16	153	7073
17	155	6766
18	157	6476
19	159	6235
20	162	6011
21	163	5794
22	165	5592
23	167	5406
24	168	5235
25	170	5075
26	172	4926
27	173	4789
28	175	4659
29	176	4539
30	178	4428
31	180	4322
32	181	4224
33	183	4140
34	185	4055
35	187	3978
36	189	3899
37	190	3825
38	192	3756
39	194	3692
40	196	3630
41	197	3570
42	199	3516
43	201	3462
44	203	3409
45	204	3357
46	206	3307
47	208	3271
48	210	3225
49	212	3186
50	214	3145
51	215	3104
52	217	3066
53	219	3032
54	221	2997
55	223	2973
56	225	2944
57	228	2924
58	230	2893
59	233	2883
60	236	2859
61	240	2863
62	242	2837
63	244	2810
64	246	2783
65	247	2757
66	249	2732
67	251	2710
68	253	2685
69	255	2662
70	257	2640
71	258	2616
72	260	2592
73	262	2570
74	263	2549
75	265	2530
76	267	2510
77	269	2490
78	270	2470
79	272	2450
80	274	2432
81	275	2414
82	277	2396
83	279	2380
84	280	2363
85	282	2346
86	284	2330
87	285	2313
88	287	2297
89	289	2281
90	290	2266
91	292	2251
92	294	2237
93	296	2223
94	297	2209
95	299	2194
96	300	2181
97	302	2168
98	304	2154
99	306	2142
100	307	2131
101	309	2118
102	312	2112
103	314	2103
104	316	2094
105	318	2083
106	319	2072
107	321	2061
108	323	2052
109	325	2041
110	327	2031
111	328	2019
112	330	2008
113	332	1998
114	333	1987
115	335	1977
116	336	1967
117	338	1958
118	340	1948
119	342	1938
120	344	1930
121	345	1921
122	347	1913
123	349	1904
124	350	1895
125	352	1887
126	354	1878
127	356	1869
128	357	1860
129	359	1851
130	360	1842
131	362	1834
132	364	1826
133	365	1818
134	367	1809
135	368	1801
136	370	1793
137	372	1785
138	373	1778
139	375	1771
140	377	1765
141	379	1758
142	381	1751
143	382	1744
144	384	1737
145	386	1731
146	388	1724
147	389	1717
148	391	1710
149	393	1704
150	394	1697
151	396	1691
152	398	1685
153	400	1678
154	401	1672
155	403	1666
156	405	1659
157	406	1653
158	408	1647
159	410	1642
160	412	1636
161	414	1630
162	415	1625
163	417	1619
164	419	1613
165	421	1608
166	422	1602
167	424	1597
168	426	1591
169	428	1586
170	429	1581
171	431	1576
172	433	1570
173	435	1565
174	437	1560
175	438	1555
176	440	1549
177	441	1543
178	443	1538
179	445	1533
180	446	1527
181	448	1522
182	450	1517
183	451	1512
184	453	1507
185	455	1502
186	456	1497
187	458	1492
188	460	1487
189	461	1482
190	463	1477
191	465	1472
192	466	1468
193	468	1463
194	470	1458
195	471	1453
196	473	1449
197	475	1444
198	477	1440
199	478	1436
200	480	1431
201	482	1427
202	483	1422
203	485	1418
204	487	1413
205	488	1409
206	490	1404
207	492	1400
208	493	1395
209	495	1391
210	497	1387
211	498	1383
212	500	1378
213	501	1374
214	503	1369
215	505	1365
216	506	1361
217	508	1356
218	509	1352
219	511	1348
220	513	1344
221	514	1339
222	516	1335
223	517	1331
224	519	1327
225	520	1323
226	522	1319
227	524	1314
228	525	1311
229	527	1307
230	529	1303
231	530	1299
232	532	1295
233	533	1291
234	535	1287
235	537	1283
236	538	1279
237	540	1275
238	541	1271
239	543	1267
240	544	1264
241	546	1260
242	548	1256
243	549	1252
244	551	1248
245	552	1245
246	554	1241
247	556	1237
248	557	1234
249	559	1230
250	560	1226
251	562	1223
252	563	1219
253	565	1215
254	567	1212
255	568	1208
256	570	1205
257	572	1202
258	573	1198
259	575	1195
260	577	1191
261	578	1187
262	580	1184
263	581	1180
264	583	1177
265	584	1174
266	586	1170
267	588	1167
268	589	1163
269	591	1160
270	592	1157
271	594	1153
272	596	1150
273	597	1147
274	599	1143
275	600	1140
276	602	1137
277	603	1133
278	605	1130
