iter	MultiClass
0	1.078830445
1	1.058600981
2	1.034771791
3	1.012341676
4	0.9958356224
5	0.9817957488
6	0.9658728159
7	0.9515987217
8	0.9383287652
9	0.9270869692
10	0.9176166012
11	0.9077123974
12	0.8951658819
13	0.8863501053
14	0.8803352674
15	0.8728067637
16	0.8630571071
17	0.8577110587
18	0.8497803183
19	0.8423746529
20	0.836759614
21	0.8303163747
22	0.8240899516
23	0.8170777445
24	0.8110386529
25	0.8065216202
26	0.8014000929
27	0.7966958851
28	0.7931488913
29	0.7866580898
30	0.7828594649
31	0.7772692771
32	0.7731155265
33	0.7683667853
34	0.7644608133
35	0.7604829236
36	0.7571943878
37	0.7534968695
38	0.7486411868
39	0.7456667224
40	0.7431129084
41	0.7399814171
42	0.7362240043
43	0.7332130471
44	0.7310401368
45	0.7273250481
46	0.724723548
47	0.7224085093
48	0.7191474825
49	0.7153802154
50	0.7127544214
51	0.7103611397
52	0.7069727495
53	0.705279753
54	0.7035854914
55	0.6999371093
56	0.698393097
57	0.6966685481
58	0.6941152912
59	0.69157476
60	0.687935108
61	0.6838994722
62	0.6819164051
63	0.6804878869
64	0.6784755694
65	0.6760276726
66	0.6740455178
67	0.6720830592
68	0.6693983997
69	0.6662407305
70	0.6644910731
71	0.6621059981
72	0.6599677047
73	0.6587809326
74	0.6578207316
75	0.656155829
76	0.6556642953
77	0.6542147004
78	0.6531801749
79	0.6518212288
80	0.6506824706
81	0.6481784088
82	0.6469226457
83	0.6450158709
84	0.6429873656
85	0.6410864129
86	0.639123679
87	0.6374082719
88	0.635753746
89	0.6342074226
90	0.6332579778
91	0.6317345438
92	0.630264063
93	0.6282718542
94	0.6271695632
95	0.6248954731
96	0.6232054049
97	0.621468405
98	0.6204003093
99	0.6187661706
100	0.6172641179
101	0.6151932787
102	0.613262801
103	0.6121048292
104	0.6104338638
105	0.6089851913
106	0.6077916311
107	0.606460341
108	0.6047697856
109	0.6039572173
110	0.6025856642
111	0.6013213054
112	0.6001263298
113	0.5993067808
114	0.5976731392
115	0.5967622937
116	0.5953622621
117	0.5940997748
118	0.5932505806
119	0.5909968057
120	0.5890321143
121	0.5870400148
122	0.5855761647
123	0.5836094667
124	0.5824549469
125	0.5806946339
126	0.578574377
127	0.5768358821
128	0.5750991535
129	0.5741739669
130	0.573481672
131	0.5724045886
132	0.5709480864
133	0.5689822706
134	0.5676662821
135	0.5662988805
136	0.5647327617
137	0.5629695106
138	0.5615821212
139	0.5602389299
140	0.5581359975
141	0.5569839249
142	0.5558433974
143	0.5549287374
144	0.5537740889
145	0.5522092807
146	0.5508969169
147	0.5497145026
148	0.5485746121
149	0.5478729434
150	0.5468966293
151	0.5457602974
152	0.5450382722
153	0.5435640429
154	0.5428223607
155	0.5415925146
156	0.5402780627
157	0.5391542236
158	0.5383012437
159	0.5377811283
160	0.5371227905
161	0.5363583259
162	0.5354883279
163	0.534789145
164	0.5341801611
165	0.5328599618
166	0.5310463978
167	0.5297233638
168	0.5286582739
169	0.5274456662
170	0.5262291638
171	0.5252260205
172	0.5245236511
173	0.5236148492
174	0.5228066722
175	0.5220800322
176	0.5213615319
177	0.5205738259
178	0.5194051702
179	0.5184743041
180	0.517427964
181	0.5165061385
182	0.5158910003
183	0.5146744798
184	0.5139139453
185	0.513050358
186	0.5125382886
187	0.5113265279
188	0.5106593595
189	0.5095721213
190	0.5089139713
191	0.5083795477
192	0.5074534222
193	0.5066043863
194	0.5050858935
195	0.5044811382
196	0.503722874
197	0.503008571
198	0.5019782867
199	0.5011707369
200	0.5005431022
201	0.4999475418
202	0.4989684181
203	0.4986308782
204	0.4982818789
205	0.4978442766
206	0.4971124491
207	0.4964205568
208	0.4956851192
209	0.4949147146
210	0.4942690752
211	0.4937920628
212	0.4933759095
213	0.4921332622
214	0.4912292494
215	0.4903035452
216	0.4891750935
217	0.4884590501
218	0.4880858181
219	0.487631397
220	0.4873445914
221	0.486538514
222	0.4854487002
223	0.484429038
224	0.4834604856
225	0.4826588098
226	0.4819068013
227	0.480951207
228	0.4803300449
229	0.4799339981
230	0.4792836026
231	0.4786236008
232	0.4781149018
233	0.4777418628
234	0.4772751443
235	0.4764579307
236	0.4758598816
237	0.475118657
238	0.4746116266
239	0.4740346067
240	0.4733894493
241	0.4727197789
242	0.4719842878
243	0.4714483845
244	0.4711294376
245	0.4707844221
246	0.4702443527
247	0.4697730438
248	0.469270458
249	0.4686638174
250	0.4683519234
251	0.467473241
252	0.4671578393
253	0.4665616153
254	0.4659960587
255	0.4652787222
256	0.4646097336
257	0.4641590726
258	0.4633955828
259	0.4626750864
260	0.4620789842
261	0.4618041709
262	0.4610943392
263	0.4602664188
264	0.459280389
265	0.4587270577
266	0.4580088574
267	0.457550897
268	0.4567882934
269	0.4563442239
270	0.4559101933
271	0.4551898987
272	0.4547520289
273	0.4542409756
274	0.4537622558
275	0.4533083504
276	0.4531350415
277	0.4528431631
278	0.4523711059
279	0.4515615127
280	0.451283462
281	0.4506423146
282	0.4501513764
283	0.4498650908
284	0.449285071
285	0.4489130077
286	0.4483169154
287	0.4476594631
288	0.4470493097
289	0.4465835056
290	0.4460600771
291	0.4451672307
292	0.4446370939
293	0.4441675633
294	0.443878845
295	0.4434239564
296	0.4429595035
297	0.4422995226
298	0.4417257551
299	0.4413839995
