iter	Passed	Remaining
0	2	621
1	3	595
2	5	579
3	7	576
4	9	553
5	10	535
6	12	524
7	14	514
8	15	508
9	17	501
10	18	495
11	20	490
12	22	485
13	23	481
14	25	478
15	26	474
16	28	471
17	29	469
18	31	466
19	33	463
20	34	460
21	36	458
22	37	455
23	39	453
24	41	451
25	42	449
26	44	447
27	45	444
28	47	443
29	49	441
30	50	439
31	52	437
32	53	435
33	55	433
34	56	431
35	58	429
36	60	427
37	61	425
38	63	423
39	64	421
40	66	420
41	68	418
42	69	416
43	71	414
44	72	412
45	74	411
46	76	409
47	77	408
48	79	407
49	81	406
50	82	404
51	84	403
52	86	402
53	88	401
54	89	399
55	91	398
56	93	397
57	94	396
58	96	394
59	98	393
60	100	391
61	101	390
62	103	389
63	105	387
64	106	386
65	108	385
66	110	383
67	112	382
68	113	380
69	115	380
70	117	380
71	120	380
72	121	379
73	123	378
74	125	377
75	127	375
76	129	374
77	130	372
78	132	371
79	134	370
80	136	368
81	138	367
82	139	365
83	141	364
84	143	362
85	145	361
86	147	360
87	148	358
88	150	357
89	152	355
90	154	353
91	155	352
92	157	350
93	159	348
94	160	347
95	162	345
96	164	343
97	166	342
98	167	340
99	169	338
100	171	337
101	172	335
102	174	334
103	176	332
104	178	331
105	180	330
106	182	328
107	184	327
108	186	326
109	187	324
110	189	322
111	191	321
112	193	320
113	195	319
114	197	317
115	199	316
116	201	314
117	203	313
118	205	312
119	207	310
120	208	309
121	210	307
122	212	306
123	214	304
124	216	303
125	218	301
126	220	299
127	222	298
128	224	297
129	226	295
130	228	294
131	229	292
132	231	291
133	233	289
134	235	287
135	237	286
136	239	284
137	241	283
138	243	281
139	244	279
140	246	278
141	248	276
142	250	275
143	252	273
144	254	271
145	256	270
146	258	268
147	260	267
148	262	265
149	264	264
150	266	262
151	267	260
152	269	259
153	271	257
154	273	256
155	275	254
156	277	252
157	279	250
158	280	249
159	282	247
160	284	245
161	286	243
162	288	242
163	290	240
164	292	239
165	294	237
166	296	235
167	298	234
168	299	232
169	301	230
170	303	229
171	305	227
172	307	225
173	309	224
174	311	222
175	312	220
176	314	218
177	316	217
178	318	215
179	320	213
180	322	211
181	324	210
182	326	208
183	328	206
184	330	205
185	331	203
186	333	201
187	335	200
188	337	198
189	339	196
190	341	194
191	343	193
192	345	191
193	347	189
194	349	188
195	351	186
196	353	184
197	354	182
198	356	181
199	358	179
200	360	177
201	362	175
202	364	174
203	366	172
204	368	170
205	370	168
206	372	167
207	373	165
208	375	163
209	377	161
210	379	160
211	381	158
212	383	156
213	385	155
214	387	153
215	389	151
216	392	150
217	394	148
218	396	146
219	397	144
220	399	142
221	401	141
222	403	139
223	405	137
224	407	135
225	408	133
226	410	132
227	412	130
228	414	128
229	416	126
230	418	124
231	420	123
232	421	121
233	423	119
234	425	117
235	427	115
236	429	114
237	430	112
238	432	110
239	434	108
240	436	106
241	437	104
242	439	103
243	441	101
244	443	99
245	444	97
246	446	95
247	448	94
248	450	92
249	451	90
250	453	88
251	455	86
252	457	84
253	459	83
254	460	81
255	462	79
256	464	77
257	466	75
258	468	74
259	470	72
260	471	70
261	473	68
262	475	66
263	477	65
264	479	63
265	481	61
266	483	59
267	484	57
268	486	56
269	488	54
270	490	52
271	492	50
272	494	48
273	495	47
274	497	45
275	498	43
276	500	41
277	502	39
278	503	37
279	505	36
280	506	34
281	508	32
282	510	30
283	511	28
284	513	27
285	514	25
286	516	23
287	517	21
288	519	19
289	520	17
290	522	16
291	524	14
292	526	12
293	528	10
294	531	9
295	533	7
296	535	5
297	537	3
298	539	1
299	541	0
